Wavenumber,0,1,2,5,10,15,20,30
750.168,0.172615,0.163536,0.169867,0.20357,0.242238,0.260392,0.270063,0.281008
751.132,0.172608,0.16418,0.169856,0.203116,0.241432,0.258946,0.269066,0.279669
752.097,0.171916,0.164651,0.169879,0.202495,0.240745,0.257574,0.267712,0.278281
753.061,0.170786,0.164949,0.170257,0.201968,0.240175,0.256617,0.266329,0.277123
754.025,0.169589,0.164932,0.170824,0.201728,0.239789,0.255924,0.265196,0.276075
754.989,0.168212,0.164473,0.171132,0.201697,0.239397,0.254977,0.264298,0.274984
755.953,0.16665,0.163864,0.171043,0.201699,0.238923,0.253794,0.263598,0.273995
756.918,0.165146,0.163408,0.170639,0.201602,0.238483,0.25272,0.26295,0.273128
757.882,0.163462,0.162847,0.169929,0.201176,0.237763,0.251702,0.262036,0.272111
758.846,0.161139,0.161932,0.169022,0.200366,0.236499,0.250665,0.260819,0.270804
759.81,0.158337,0.160865,0.168135,0.199547,0.23519,0.249846,0.259523,0.269329
760.775,0.155533,0.159749,0.167303,0.198962,0.23412,0.249107,0.258159,0.267824
761.739,0.152835,0.158484,0.166402,0.198382,0.232807,0.248062,0.256655,0.266494
762.703,0.150196,0.157138,0.165362,0.197428,0.231088,0.24676,0.255201,0.265442
763.667,0.147793,0.155761,0.164147,0.196021,0.229554,0.245413,0.254022,0.264399
764.632,0.145812,0.154282,0.162733,0.194549,0.228648,0.244114,0.253032,0.263142
765.596,0.144078,0.152764,0.16121,0.193338,0.228087,0.242954,0.251979,0.261764
766.56,0.14226,0.151242,0.159705,0.192179,0.227273,0.241907,0.250743,0.260308
767.524,0.140378,0.149618,0.158195,0.190768,0.225903,0.240847,0.249298,0.258726
768.488,0.138723,0.147936,0.156559,0.189196,0.22416,0.23975,0.247701,0.257127
769.453,0.13742,0.14635,0.154818,0.187725,0.222521,0.238632,0.246165,0.255646
770.417,0.13637,0.144821,0.15316,0.186402,0.221241,0.237344,0.244778,0.25426
771.381,0.135484,0.143208,0.151642,0.185092,0.220061,0.235747,0.243348,0.252856
772.345,0.134812,0.141613,0.150144,0.183712,0.218673,0.234042,0.241798,0.251376
773.31,0.134429,0.140316,0.148667,0.182301,0.217121,0.232468,0.240275,0.249883
774.274,0.13424,0.139327,0.147284,0.180911,0.215547,0.230901,0.238809,0.248432
775.238,0.134109,0.138388,0.145983,0.179541,0.213961,0.229229,0.237446,0.247011
776.202,0.134102,0.137412,0.144874,0.178178,0.212375,0.227635,0.236329,0.245639
777.166,0.134371,0.136588,0.144157,0.176857,0.210939,0.226243,0.235368,0.244365
778.131,0.134882,0.135994,0.143719,0.175595,0.209672,0.224887,0.234242,0.243118
779.095,0.135494,0.135501,0.143193,0.174343,0.208385,0.223435,0.2328,0.241735
780.059,0.136159,0.135046,0.142447,0.173107,0.207045,0.221992,0.23125,0.240223
781.023,0.136853,0.134635,0.141649,0.171929,0.205795,0.220635,0.229893,0.238792
781.988,0.137504,0.134238,0.140924,0.170804,0.204638,0.219297,0.228732,0.237512
782.952,0.138173,0.133878,0.14021,0.169752,0.203407,0.21796,0.227479,0.236168
783.916,0.139026,0.133618,0.139504,0.168793,0.201988,0.216671,0.22595,0.234666
784.88,0.140078,0.133504,0.138978,0.167857,0.200529,0.215417,0.224221,0.233241
785.844,0.141239,0.133569,0.138719,0.166941,0.199311,0.214162,0.222556,0.232077
786.809,0.142468,0.133792,0.138607,0.166088,0.198338,0.212922,0.221216,0.230987
787.773,0.143708,0.134068,0.138563,0.165231,0.197324,0.211702,0.220134,0.229683
788.737,0.144908,0.134292,0.138663,0.164405,0.196185,0.210502,0.219026,0.228173
789.701,0.14612,0.134511,0.138918,0.163786,0.195163,0.209389,0.217861,0.226687
790.666,0.147432,0.134923,0.139198,0.163369,0.194366,0.208383,0.216831,0.225421
791.63,0.14884,0.13558,0.139367,0.162921,0.193573,0.207334,0.215861,0.224341
792.594,0.150253,0.136254,0.139393,0.16226,0.192624,0.206188,0.214695,0.223259
793.558,0.151623,0.136699,0.13935,0.161426,0.191568,0.205092,0.213404,0.222071
794.523,0.152982,0.13688,0.139317,0.160636,0.190456,0.204042,0.212229,0.220773
