Wavenumber,30,20,15,10,5,2,1,0,,,30,20,15,10,5,2,1,0,"10 pts SG smooth of ""30""","10 pts SG smooth of ""20""","10 pts SG smooth of ""15""","10 pts SG smooth of ""10""","10 pts SG smooth of ""5""","10 pts SG smooth of ""2""","10 pts SG smooth of ""1""","10 pts SG smooth of ""0"""
2209.04,0.0371492,0.0377066,0.039561,0.0402118,0.0388847,0.0353452,0.0325277,0.022031,,,0.0371579857142857,0.03772148,0.0395377628571428,0.0402227542857143,0.0389052371428571,0.0353398857142857,0.0325307085714286,0.02201246,0.0372717331002331,0.0376826058275058,0.0394572202797203,0.0402313067599068,0.0390179193473194,0.0352689016317016,0.0325045822843823,0.0218911013986014
2210.01,0.0375078,0.0380888,0.0399497,0.0407451,0.0399534,0.0361955,0.0327555,0.0223551,,,0.0374833371428571,0.03805682,0.0398914914285714,0.0406918542857143,0.0398909914285714,0.0361143714285714,0.0327177257142857,0.0223119257142857,0.0374292361305361,0.0377812307692308,0.0395451717948718,0.0403509876456876,0.0394853955710956,0.0354905927738928,0.0325589687645688,0.0221174158508158
2210.97,0.0377318,0.0381985,0.039806,0.0408153,0.0404634,0.0362499,0.0327247,0.0223578,,,0.0377233228571429,0.0381638628571429,0.0397999057142857,0.0407836971428571,0.0404109942857143,0.0362064514285714,0.0327108742857143,0.02236674,0.0376307489510489,0.0379440836829837,0.0396079261072261,0.0404754263403263,0.0399898002331002,0.0357335372960373,0.0326679356643357,0.0223336342657343
2211.94,0.0378315,0.0380286,0.039453,0.0405068,0.0403681,0.0357302,0.0325977,0.0223507,,,0.0378483685714286,0.0380472514285714,0.03950232,0.0405363028571428,0.0404086857142857,0.0357752,0.0326336914285714,0.0223956314285714,0.0378090571095571,0.0381333351981352,0.0395601601398601,0.0405590850815851,0.0403397097902098,0.0358730874125874,0.0327874636363636,0.0224721328671329
2212.9,0.0379161,0.0379761,0.0392849,0.0402727,0.0402323,0.0353651,0.0326982,0.0225411,,,0.03791544,0.0380114571428571,0.0392875485714286,0.0402967771428571,0.0402704,0.0354128171428571,0.0327207514285714,0.0225266742857143,0.0378856895104895,0.0383001794871795,0.0393708785547785,0.0405382475524476,0.040374189044289,0.0357971710955711,0.0328440272727273,0.0225182212121212
2213.86,0.037898,0.0382204,0.0391205,0.0402219,0.0401473,0.0353583,0.03293,0.0226121,,,0.03788516,0.0382264771428571,0.0390764085714286,0.0402181542857143,0.0401172485714286,0.0353495571428571,0.0329046285714286,0.0225701342857143,0.0378197363636364,0.0383924186480186,0.0391005920745921,0.0403649552447552,0.0400700076923077,0.0355195846153846,0.0328107531468531,0.0224879505827506
2214.83,0.0376973,0.0385284,0.0387477,0.0401824,0.0397599,0.0353568,0.0329338,0.0224151,,,0.0376961428571429,0.0385125685714286,0.0387633685714286,0.0401815857142857,0.0397343142857143,0.0353306314285714,0.0329086428571429,0.0224391,0.0376184265734266,0.0383832342657343,0.0388123226107226,0.0400641137529138,0.0395405974358974,0.0351580494172494,0.0327062296037296,0.0224071177156177
2215.79,0.0373839,0.0385961,0.0384688,0.0400259,0.0390675,0.0351096,0.0326463,0.0222911,,,0.0373891542857143,0.0385779028571428,0.0385099342857143,0.0400141228571429,0.0390779142857143,0.0351008142857143,0.0326554371428571,0.0223185885714286,0.0373209361305361,0.0382597076923077,0.0385137594405594,0.0397186806526807,0.0389523974358974,0.0348084195804196,0.0325339165501166,0.0223046205128205
2216.76,0.0370412,0.0383042,0.0384033,0.0396336,0.038366,0.034671,0.0322977,0.0223011,,,0.0370382257142857,0.03829598,0.0383789228571429,0.0396039771428571,0.0383722571428571,0.0346692857142857,0.0323120914285714,0.0222681085714286,0.0369960303030303,0.0380094780885781,0.0382160848484848,0.0393992291375291,0.0384329662004662,0.0344972128205128,0.0322880247086247,0.0222169972027972
2217.72,0.0366913,0.0377457,0.0381908,0.0390241,0.0378298,0.0341978,0.0320116,0.0221854,,,0.0366788714285714,0.0377405828571429,0.0381444028571429,0.0390240142857143,0.0378252314285714,0.0341934714285714,0.0319999342857143,0.0221660628571429,0.0367366251748252,0.0376596748251748,0.0379959407925408,0.0391552293706294,0.0380692641025641,0.0342759284382284,0.032019131002331,0.0222032393939394
2218.68,0.036391,0.0371095,0.0377553,0.0385616,0.0375603,0.0338668,0.0317437,0.0220692,,,0.0363980457142857,0.0371086171428571,0.0377657314285714,0.0386007714285714,0.0375734142857143,0.0338712914285714,0.0317312628571429,0.02210328,0.0366082230769231,0.0372946988344988,0.0379333911421911,0.0390193470862471,0.0379253505827506,0.0342414419580419,0.031835786013986,0.0223198440559441
2219.65,0.0363421,0.0366442,0.0375621,0.0386113,0.0377122,0.0339053,0.0315858,0.0223033,,,0.0363743285714286,0.0366690057142857,0.0376187228571429,0.03864088,0.0377450371428571,0.0339381542857143,0.0316080257142857,0.0223309857142857,0.0366121531468531,0.0370128948717949,0.0380069687645688,0.0389766883449883,0.0379930121212121,0.0344123592074592,0.0318278055944056,0.0225501601398601
2220.61,0.0366642,0.0366087,0.0379548,0.0390814,0.0382872,0.0344882,0.0317748,0.0228409,,,0.0366723428571429,0.0366374057142857,0.0379781657142857,0.0390760428571428,0.03829338,0.0345286057142857,0.0317995971428571,0.0228265514285714,0.0367251156177156,0.0368915871794872,0.0381447778554779,0.0390045501165501,0.0381982976689977,0.0347073053613054,0.0320119878787879,0.0228192543123543
2221.58,0.0371009,0.0369725,0.0386164,0.039535,0.0389039,0.0354071,0.0322883,0.0233122,,,0.0370687914285714,0.0369593514285714,0.0385698742857143,0.0394971914285714,0.0388596028571429,0.0353835628571429,0.03227714,0.0232888514285714,0.0369253874125874,0.0369649501165501,0.0383489916083916,0.0391200284382284,0.0384926428904429,0.0350524734265734,0.0323351205128205,0.023086831002331
2222.54,0.0373008,0.0373702,0.0389573,0.0395977,0.0391088,0.0359822,0.0328146,0.0235148,,,0.0372838285714286,0.0373418285714286,0.0389161228571428,0.0395633028571429,0.0390713771428571,0.0359057771428571,0.0327991714285714,0.0235104628571429,0.0371504454545455,0.0371948055944056,0.0386450811188811,0.0393077435897436,0.0388488268065268,0.0353862871794872,0.0326962811188811,0.0233316801864802
2223.51,0.0372871,0.0375898,0.0389307,0.0393362,0.0389652,0.0358083,0.0331722,0.0235187,,,0.0373109542857143,0.0375959114285714,0.0389580257142857,0.0393611771428571,0.03899316,0.0358015885714286,0.0331793742857143,0.0235241085714286,0.0372826491841492,0.0374820778554779,0.038957665967366,0.0394724540792541,0.039163682983683,0.0356005680652681,0.0329862745920746,0.0234842582750583
2224.47,0.037281,0.0377503,0.0389702,0.0392185,0.038973,0.0353718,0.0333596,0.0234445,,,0.03729642,0.0377655485714286,0.0390079228571429,0.0392644171428571,0.03902856,0.0354388971428571,0.0333560942857143,0.0234511514285714,0.0372333303030303,0.0377208664335664,0.0391525116550117,0.0395250606060606,0.039281551048951,0.0355957526806527,0.0331346501165501,0.023482306993007
2225.43,0.0372254,0.0378994,0.0391906,0.0394212,0.0393059,0.0352374,0.0332916,0.0233497,,,0.0371969342857143,0.0378887628571428,0.0391756857142857,0.0394110085714286,0.0393032771428571,0.0352452942857143,0.0332646771428571,0.0233497514285714,0.0370251813519813,0.0378419911421911,0.0391688438228438,0.0394546766899767,0.0391628235431235,0.0353748312354312,0.0331139622377622,0.0233506717948718
2226.4,0.0368833,0.0379069,0.0392666,0.0395852,0.0394894,0.035187,0.0329239,0.0232142,,,0.0368547228571428,0.0378940685714286,0.0392358114285714,0.0395530142857143,0.0394218228571428,0.03513738,0.0329225457142857,0.0232048914285714,0.0367566083916084,0.0378331981351981,0.0390575447552447,0.0393218648018648,0.0389582780885781,0.0350683368298368,0.0329369368298368,0.0231764146853147
2227.36,0.0363498,0.0377667,0.0390469,0.0394703,0.0390796,0.0349104,0.0325263,0.0230173,,,0.0363749828571429,0.03777642,0.0390495571428571,0.0394648657142857,0.03904156,0.0349085828571429,0.0325617171428571,0.0230168371428571,0.0365145517482517,0.0377426489510489,0.0389087566433566,0.0392256284382284,0.0388497624708625,0.0348750552447553,0.0326856652680653,0.0230385491841492
2228.33,0.0360534,0.0376224,0.0387394,0.0392118,0.038421,0.0346763,0.0323844,0.0228469,,,0.0360887314285714,0.0376277228571428,0.0387514857142857,0.0392092971428571,0.0384715971428571,0.0347047228571429,0.0323843914285714,0.0228538,0.0363403454545455,0.0376396011655012,0.0387710776223776,0.0392311508158508,0.0388712095571096,0.0349044074592075,0.0324870610722611,0.0229576857808858
2229.29,0.0361288,0.0375042,0.038521,0.0390084,0.0383019,0.0347746,0.0323706,0.0227963,,,0.0361163714285714,0.0374900228571428,0.0385179571428571,0.0390173828571428,0.0383723142857143,0.0347852971428571,0.0323383371428571,0.0228042285714286,0.0362486186480186,0.0375612843822844,0.0386627503496503,0.0393221545454545,0.0389571566433566,0.0350854769230769,0.0324318324009324,0.0229043673659674
2230.26,0.0362985,0.0373802,0.0384276,0.039088,0.0389203,0.0351636,0.0323574,0.0228783,,,0.0362828657142857,0.0373878885714286,0.0384331628571429,0.0391246171428571,0.0389146428571428,0.0351749828571429,0.0323774657142857,0.0228871114285714,0.0362598456876457,0.0375147237762238,0.0386303701631702,0.0394600738927739,0.0390913505827506,0.0352927545454545,0.0325349757575758,0.0228669428904429
2231.22,0.03643,0.0373839,0.0385306,0.0395737,0.0396527,0.0356768,0.0325937,0.0230132,,,0.0364403028571428,0.0374091342857143,0.0385462171428571,0.0395862057142857,0.0395969,0.0356722571428571,0.0326308742857143,0.0229963142857143,0.0363821305361305,0.0374946146853147,0.038718620979021,0.039643924009324,0.0393075016317016,0.0354778804195804,0.0327393958041958,0.0228742783216783
2232.18,0.0365732,0.0375591,0.0388365,0.0401614,0.0399416,0.0360149,0.0330943,0.0230185,,,0.0365708085714286,0.0375495771428571,0.0388388228571429,0.0401261457142857,0.0399278,0.0359819085714286,0.0330750142857143,0.0229962571428571,0.0365372414918415,0.0374819783216783,0.0388810724941725,0.0398694783216783,0.0395695275058275,0.0356220986013986,0.032951051048951,0.0229336750582751
